ENTITYID,ADDRESSSTATECODE,POSTALCODE
1764,MT,59457
1764,MT,59442
1766,OR,97477
1767,UT,84532
1768,ID,83815
1770,UT,84720
1771,WA,99212
1773,OR,97459
1776,ID,83522
1779,OR,97477
1782,OR,97470
1784,WA,98801
1785,CA,92311
1785,CA,92311
1786,MT,59538
1787,MT,59230
1788,MT,59801
1789,WA,99212
1790,WA,99212
1791,OR,97477
1793,WA,98801
1794,WA,98801
1798,MT,59101
1799,NE,68838
1800,MT,59101
1801,UT,84790
1802,NM,87109
1803,NM,88301
1803,NM,88301
1805,WI,54880
1807,NM,87401
1808,NM,87107
1810,NV,89815
1811,AZ,84790
1813,UT,84790
1814,NV,89801
1814,ID,83639
1815,NV,89801
1816,NV,89445
1817,NV,89445
1819,MT,59729
1821,NY,14510
1823,CA,96120
1824,NV,89701
1825,CA,93258
1826,NV,89161
1827,OR,97630
1828,OR,97630
1829,OR,97738
1830,OR,97738
1832,NM,87402
1834,OR,97918
1835,NM,87107
1838,NM,87801
1839,NM,87801
1840,NM,87801
1843,OR,97306
1845,NM,87401
1848,NM,87571
1851,OR,97365
1854,OR,97471
1856,OR,97471
1858,OR,97504
1859,OR,97459
1861,OR,97459
1862,UT,84119
1864,UT,84726
1870,UT,84078
1871,WY,82520
1872,WY,82301
1872,WY,82604
1874,WY,82604
1874,WY,82604
1885,AZ,85365
1889,WA,99133
1890,TN,37615
1891,TN,37615
1892,TN,37615
1895,TN,37615
1896,TN,37615
1897,TN,37813
1898,TN,37813
1899,TN,37772
1900,TN,37772
1901,TN,37772
1904,TN,37772
1906,TN,37772
1908,NC,28906
1910,NC,28906
1911,NC,28906
1912,NC,28906
1913,NC,28906
1914,NC,28906
1915,TN,37402
1916,TN,37402
1917,AL,35976
1973,AL,35976
1974,AL,35662
1975,AL,35662
1976,TN,38242
1977,AL,35662
1978,TN,38242
1979,AL,35662
1980,AL,35976
1981,TN,37772
1982,TN,37772
1987,CA,95664
1988,WY,82644
1991,WY,82414
1993,NE,69356
1996,CO,81146
1997,CO,81506
1998,NM,87102
2001,ID,83705
2002,AZ,86040
2011,AZ,86040
2017,UT,84023
2026,NV,89820
2027,NV,89820
2030,AZ,85027
2034,AZ,85546
2036,OR,97603
2038,AZ,86403
2039,AZ,86403
2040,AL,36532
2041,AZ,85546
2045,AZ,85546
2046,AZ,86406
2047,AZ,86401
2048,AZ,86403
2049,AZ,86403
2050,AZ,85365
2051,AZ,86403
2056,AZ,85746
2058,AZ,85546
2065,ID,83352
2066,ID,83352
2068,ID,83352
2070,ID,83318
2072,ID,83204
2076,ID,83401
2077,ID,83301
2079,ID,83204
2080,ID,83705
2103,NV,89301
2104,NV,89301
2105,NV,89301
2106,NV,89406
2107,NV,89049
2108,NV,89701
2111,NV,89801
2112,NV,89301
2113,NV,89301
2114,NV,89445
2115,NV,89130
2116,NV,89445
2119,NV,89049
2125,NM,88201
2131,UT,84501
2139,UT,84535
2145,UT,84532
2147,UT,84532
2160,UT,84532
2163,CA,93003
2164,CA,95757
2165,WA,98642
2166,WA,98648
2167,HI,96754
2170,CA,93003
2171,WA,98382
2172,WA,98382
2183,UT,84501
2187,UT,84501
2191,UT,84078
2195,UT,84701
2196,UT,84701
2197,UT,84606
2198,UT,84726
2199,UT,84790
2201,UT,84078
2212,UT,84078
2213,UT,84631
2214,UT,84631
2215,UT,84631
2217,WY,82401
2217,WY,82401
2220,WY,82834
2220,WY,82834
2224,WY,82604
2229,WY,82301
2238,WY,82941
2238,WY,82941
2239,WY,82941
2243,WY,82941
2243,WY,83101
2250,WY,82604
2251,WY,82941
2252,WY,82901
2252,WY,82901
2264,MO,65616
2265,CA,95630
2266,AZ,85546
2268,AZ,85546
2272,AZ,85546
2273,AZ,85546
2274,AZ,85546
2275,AZ,85546
2276,AZ,85546
2277,AZ,85546
2278,AZ,85546
2279,CA,95726
2280,CA,95630
2284,CA,95959
2290,AZ,85546
2516,CA,94920
2536,TX,78373
2553,KY,42748
2554,ME,4609
2554,ME,4609
2555,MA,2169
2555,MA,2169
2556,NE,69346
2557,AK,99613
2557,AK,99613
2558,CA,94122
2558,CA,94123
2559,AK,99501
2560,TX,79036
2560,TX,79036
2561,PA,16641
2562,TX,78840
2562,TX,78840
2563,MP,96950
2563,MP,96950
2564,DC,20020
2566,GA,31711
2567,AK,99613
2567,AK,99613
2568,TN,37743
2568,TN,37743
2569,MD,21782
2569,MD,21782
2570,VA,24522
2570,VA,24522
2571,WI,54814
2572,WV,25425
2573,UT,84532
2573,UT,84532
2575,AR,72055
2576,MD,21811
2577,NM,87410
2578,SD,57750
2578,SD,57750
2579,NM,87544
2581,MD,20770
2581,MD,20770
2582,AK,99762
2582,AK,99762
2583,CO,81050
2584,TX,79834
2584,TX,79834
2585,MT,59035
2585,MT,59035
2586,FL,34141
2587,MT,59761
2587,MT,59761
2588,FL,33033
2589,TN,37841
2590,TX,77625
2591,MA,1588
2592,CO,81401
2592,CO,81230
2593,NC,28803
2593,NC,28803
2594,WV,25979
2594,WV,25846
2595,MA,2109
2596,MA,2109
2597,MA,2129
2597,MA,2129
2598,VA,24101
2599,UT,84764
2599,UT,84764
2600,MS,38849
2600,MS,38804
2601,KS,66612
2602,AR,72675
2602,AR,72601
2603,VI,820
2603,VI,820
2604,CA,92106
2605,AZ,86503
2605,AZ,86503
2606,NY,10004
2606,NY,10005
2607,MA,2667
2608,AZ,85128
2609,NC,27920
2609,NC,27954
2610,DC,20003
2610,DC,20020
2611,AK,99752
2611,AK,99752
2612,NM,87505
2612,NM,87504
2613,NC,28531
2613,NC,28531
2614,VA,23459
2614,VA,23690
2615,FL,32796
2616,UT,84532
2616,UT,84532
2617,UT,84775
2617,UT,84775
2618,LA,71457
2618,LA,71457
2619,NC,28731
2620,FL,32084
2620,FL,32084
2621,MD,21788
2621,MD,21788
2622,NM,88220
2622,NM,88220
2623,NM,88414
2623,NM,88418
2624,UT,84719
2624,UT,84720
2625,TX,79905
2626,GA,30350
2626,GA,30350
2627,GA,30742
2628,NM,87037
2628,NM,87037
2629,OK,73086
2630,AZ,85643
2631,CA,93001
2632,MD,21740
2633,SC,29464
2633,SC,29482
2634,VI,820
2637,ID,83312
2637,ID,83312
2641,CO,81521
2642,VA,23690
2642,VA,23690
2644,SC,29061
2645,SC,29341
2645,SC,29341
2646,LA,71457
2647,OR,97604
2647,OR,97604
2648,ID,83213
2648,ID,83213
2649,KY,40965
2650,GA,31558
2650,GA,31558
2651,CO,81230
2652,OH,44264
2652,OH,44141
2653,OH,45402
2656,PA,18042
2658,AK,99755
2658,AK,99755
2659,CA,93546
2659,CA,93546
2660,FL,34209
2660,FL,34280
2661,WY,82714
2661,WY,82714
2662,CA,92328
2663,PA,18324
2664,UT,84035
2664,CO,81610
2665,FL,33034
2666,WA,98239
2666,WA,98239
2668,NJ,7052
2669,IA,52146
2672,NM,87020
2673,NM,87321
2675,NY,12047
2675,NY,12188
2676,CA,94526
2676,CA,94526
2677,FL,33034
2677,FL,33034
2681,NY,11772
2683,CO,80816
2683,CO,80816
2684,AZ,85605
2684,AZ,85605
2685,WY,83101
2685,WY,83101
2686,FL,32225
2688,TX,79734
2688,TX,79734
2689,TN,37058
2690,DC,20020
2691,GA,31522
2692,WY,82212
2693,KS,67550
2694,FL,32080
2695,MD,21230
2697,PA,15437
2698,CA,94129
2698,CA,94123
2699,GA,31410
2699,GA,31410
2700,NC,27954
2700,NC,27954
2701,KS,66701
2701,KS,66701
2702,AR,72901
2703,NY,13440
2703,NY,13440
2704,SC,29401
2704,SC,29482
2706,NM,87753
2706,NM,87753
2708,WA,98661
2708,WA,98661
2709,MD,20744
2711,DC,20020
2713,PA,15470
2713,PA,15437
2714,MA,2445
2715,VA,22405
2716,AK,99726
2716,AK,99726
2717,WV,25846
2717,WV,25846
2718,NY,10305
2720,IN,47591
2722,PA,17325
2724,NM,88061
2724,NM,88061
2725,MT,59936
2725,MT,59936
2726,AK,99826
2726,AK,99826
2727,AZ,86040
2727,AZ,86040
2729,MD,20812
2730,CA,94123
2732,NV,89311
2732,NV,89311
2733,AZ,86023
2733,AZ,86023
2734,MD,20770
2735,VA,22102
2735,VA,22101
2736,MT,59722
2737,MN,55605
2737,MN,55605
2738,CO,81146
2739,TN,37738
2739,TN,37738
2740,VA,23093
2742,NC,27410
2743,FL,32563
2744,TX,79847
2745,MO,64840
2746,VA,22101
2747,WV,25425
2747,WV,25425
2748,ID,83332
2748,ID,83332
2751,HI,96790
2751,HI,96768
2753,HI,96718
2753,HI,96718
2754,IA,52358
2754,IA,52358
2755,AL,36256
2756,OH,45601
2759,NE,68310
2759,NE,68310
2760,AR,71901
2760,AR,71901
2761,CO,81321
2761,CO,81321
2764,WI,53711
2766,PA,19106
2767,IN,46304
2769,MI,49931
2771,VA,23081
2771,VA,23690
2772,SD,57730
2777,OR,97848
2780,PA,15956
2782,CA,92277
2783,CA,94104
2785,HI,96742
2786,AK,99613
2786,AK,99613
2787,AK,99664
2787,AK,99664
2788,GA,30152
2789,DC,20019
2789,DC,20020
2790,MI,49913
2791,SC,29702
2791,SC,29702
2792,AK,99840
2792,AK,99840
2793,WA,98104
2794,ND,58571
2794,ND,58571
2795,AK,99752
2795,AK,99752
2797,CA,96134
2797,CA,96134
2799,AK,99653
2799,AK,99653
2801,TX,79036
2801,TX,79036
2802,WA,99116
2803,CA,96063
2803,CA,96063
2804,NE,68102
2805,MT,59022
2805,MT,59022
2809,AL,35967
2813,VA,22202
2813,VA,22101
2814,TX,78636
2814,TX,78636
